Ticker,Nome delle partecipazioni,% del valore di mercato,Valore di mercato,Face amount,Cedola/Rendimento,Data di scadenza
NYKRE,Nykredit Realkredit AS,"0,0275%","745.194,38 €",800.000,"0,88%",28 lug 2031
MUNRE,Muenchener Rueckversicherungs-Gesellschaft AG in Muenchen,"0,0275%","744.262,06 €",900.000,"1,25%",26 mag 2041
NGGLN,National Grid plc,"0,0274%","743.979,86 €",800.000,"3,25%",30 mar 2034
ASSGEN,Assicurazioni Generali SPA,"0,0274%","742.929,27 €",700.000,"5,40%",20 apr 2033
VZ,Verizon Communications Inc.,"0,0274%","742.746,74 €",800.000,"2,63%",01 dic 2031
ANZ,Australia & New Zealand Banking Group Ltd.,"0,0274%","742.214,07 €",725.000,"5,10%",03 feb 2033
ABANCA,Abanca Corp. Bancaria SA,"0,0274%","742.184,40 €",800.000,"0,50%",08 set 2027
NWG,NatWest Group plc,"0,0274%","741.617,53 €",850.000,"0,67%",14 set 2029
ICADFP,Praemia Healthcare SACA,"0,0273%","741.215,81 €",900.000,"0,88%",04 nov 2029
WSTP,Westpac Banking Corp.,"0,0273%","740.756,79 €",800.000,"1,13%",05 set 2027
OMVAV,OMV AG,"0,0273%","740.513,98 €",800.000,"2,38%",09 apr 2032
BACR,Barclays plc,"0,0273%","740.034,54 €",800.000,"0,88%",28 gen 2028
CCHLN,Coca-Cola HBC Finance BV,"0,0273%","739.771,27 €",750.000,"2,75%",23 set 2025
ACAFP,Credit Agricole SA,"0,0273%","739.194,33 €",900.000,"1,13%",12 lug 2032
SOCGEN,Societe Generale SA,"0,0272%","737.099,18 €",800.000,"0,63%",02 dic 2027
CPIPGR,CPI Property Group SA,"0,0272%","736.537,02 €",800.000,"2,75%",12 mag 2026
HTHROW,Heathrow Funding Ltd.,"0,0272%","736.433,96 €",900.000,"1,88%",14 mar 2034
TELEFO,Telefonica Emisiones SA,"0,0272%","736.258,88 €",1.000.000,"1,86%",13 lug 2040
DT,Deutsche Telekom AG,"0,0272%","736.179,42 €",800.000,"0,50%",05 lug 2027
BPCEGP,BPCE SA,"0,0271%","735.749,56 €",800.000,"1,63%",02 mar 2029
DLR,Digital Dutch Finco BV,"0,0271%","735.396,41 €",890.000,"1,25%",01 feb 2031
AIRFP,Airbus SE,"0,0271%","735.372,15 €",775.000,"2,00%",07 apr 2028
ARGSPA,Argenta Spaarbank NV,"0,0271%","735.113,43 €",800.000,"1,00%",29 gen 2027
PLD,Prologis Euro Finance LLC,"0,0271%","733.865,66 €",800.000,"1,88%",05 gen 2029
HLNLN,Haleon Netherlands Capital BV,"0,0271%","733.732,86 €",768.000,"1,25%",29 mar 2026
MO,Altria Group Inc.,"0,0271%","733.644,46 €",800.000,"3,13%",15 giu 2031
ABBNVX,ABB Finance BV,"0,027%","733.295,63 €",736.000,"3,38%",16 gen 2031
LOUDRE,Louis Dreyfus Co. Finance BV,"0,027%","733.044,08 €",800.000,"1,63%",28 apr 2028
MOLHB,MOL Hungarian Oil & Gas plc,"0,027%","733.000,10 €",800.000,"1,50%",08 ott 2027
,Iccrea Banca SPA,"0,027%","732.241,98 €",700.000,"6,38%",20 set 2027
ATDBCN,Alimentation Couche-Tard Inc.,"0,027%","731.850,76 €",760.000,"1,88%",06 mag 2026
V,Visa Inc.,"0,027%","731.587,63 €",780.000,"2,00%",15 giu 2029
VIEFP,Veolia Environnement SA,"0,0269%","729.626,03 €",900.000,"0,80%",15 gen 2032
ICADFP,ICADE,"0,0269%","729.141,56 €",800.000,"1,63%",28 feb 2028
LIGHT,Signify NV,"0,0268%","727.494,14 €",760.000,"2,38%",11 mag 2027
ISPIM,Intesa Sanpaolo SPA,"0,0268%","726.747,12 €",800.000,"1,75%",04 lug 2029
SOCGEN,Societe Generale SA,"0,0268%","726.561,95 €",700.000,"4,25%",16 nov 2032
DHR,DH Europe Finance II Sarl,"0,0268%","725.833,67 €",1.000.000,"1,35%",18 set 2039
XOM,Exxon Mobil Corp.,"0,0268%","725.423,03 €",900.000,"0,84%",26 giu 2032
RTOLN,Rentokil Initial Finance BV,"0,0268%","725.265,86 €",725.000,"3,88%",27 giu 2027
FIS,Fidelity National Information Services Inc.,"0,0267%","724.988,44 €",760.000,"0,63%",03 dic 2025
SOCGEN,Societe Generale SA,"0,0267%","724.985,18 €",800.000,"1,75%",22 mar 2029
BBVASM,Banco Bilbao Vizcaya Argentaria SA,"0,0267%","724.902,06 €",700.000,"4,38%",14 ott 2029
BFCM,Banque Federative du Credit Mutuel SA,"0,0267%","723.531,38 €",900.000,"1,13%",19 nov 2031
SAPGR,SAP SE,"0,0266%","721.312,86 €",800.000,"1,38%",13 mar 2030
VW,Volkswagen Leasing GmbH,"0,0266%","721.307,03 €",700.000,"4,63%",25 mar 2029
ABNANV,ABN AMRO Bank NV,"0,0266%","720.459,32 €",900.000,"1,25%",20 gen 2034
STLA,Stellantis NV,"0,0266%","720.138,50 €",700.000,"4,50%",07 lug 2028
AQUASM,FCC Aqualia SA,"0,0266%","720.067,88 €",750.000,"2,63%",08 giu 2027
FIS,Fidelity National Information Services Inc.,"0,0266%","719.945,37 €",800.000,"2,00%",21 mag 2030
FIRMEN,Firmenich Productions Participations SAS,"0,0265%","719.785,18 €",800.000,"1,75%",30 apr 2030
VW,Volkswagen Bank GmbH,"0,0265%","719.682,39 €",700.000,"4,63%",03 mag 2031
OMVAV,OMV AG,"0,0265%","719.411,22 €",700.000,"6,25%",31 dic 2079
SO,Southern Power Co.,"0,0265%","719.224,64 €",750.000,"1,85%",20 giu 2026
EJRAIL,East Japan Railway Co.,"0,0265%","719.057,38 €",700.000,"4,39%",05 set 2043
O,Realty Income Corp.,"0,0265%","718.919,50 €",675.000,"5,13%",06 lug 2034
HLNLN,Haleon Netherlands Capital BV,"0,0265%","718.574,27 €",800.000,"1,75%",29 mar 2030
DSM,DSM BV,"0,0265%","718.369,11 €",900.000,"0,63%",23 giu 2032
ACAFP,Credit Agricole SA,"0,0265%","717.847,36 €",800.000,"2,50%",22 apr 2034
PRIFII,Prologis International Funding II SA,"0,0265%","717.721,26 €",700.000,"4,63%",21 feb 2035
OTPHB,OTP Bank Nyrt,"0,0265%","717.637,69 €",700.000,"6,13%",05 ott 2027
LIBMUT,Liberty Mutual Group Inc.,"0,0265%","717.355,16 €",700.000,"4,63%",02 dic 2030
WPC,WPC Eurobond BV,"0,0264%","716.800,78 €",800.000,"1,35%",15 apr 2028
TVOYFH,Teollisuuden Voima Oyj,"0,0264%","715.975,46 €",700.000,"4,75%",01 giu 2030
EJRAIL,East Japan Railway Co.,"0,0264%","715.554,38 €",725.000,"2,61%",08 set 2025
COFBBB,Cofinimmo SA,"0,0264%","715.533,29 €",900.000,"0,88%",02 dic 2030
SIEGR,Siemens Financieringsmaatschappij NV,"0,0264%","715.162,84 €",800.000,"1,38%",06 set 2030
TACHEM,Takeda Pharmaceutical Co. Ltd.,"0,0264%","715.016,62 €",950.000,"2,00%",09 lug 2040
INTNED,ING Groep NV,"0,0264%","714.946,47 €",700.000,"5,00%",20 feb 2035
VMUKLN,Virgin Money UK plc,"0,0264%","714.571,34 €",700.000,"4,63%",29 ott 2028
BPLN,BP Capital Markets plc,"0,0263%","713.686,13 €",750.000,"1,57%",16 feb 2027
CAABNK,CA Auto Bank SPA/Ireland,"0,0263%","713.471,55 €",700.000,"4,75%",25 gen 2027
TELBSS,Tele2 AB,"0,0263%","713.352,91 €",760.000,"2,13%",15 mag 2028
BPCEGP,BPCE SA,"0,0263%","713.300,61 €",800.000,"1,75%",02 feb 2034
FREGR,Fresenius Finance Ireland plc,"0,0263%","713.001,01 €",890.000,"0,88%",01 ott 2031
CRHID,CRH Funding BV,"0,0263%","712.931,08 €",800.000,"1,63%",05 mag 2030
,Jyske Bank A/S,"0,0263%","712.566,20 €",700.000,"5,13%",01 mag 2035
,Kellanova,"0,0263%","712.075,04 €",727.000,"3,75%",16 mag 2034
GFCFP,Gecina SA,"0,0263%","712.026,35 €",900.000,"0,88%",25 gen 2033
BHH,Berlin Hyp AG,"0,0262%","711.434,81 €",900.000,"0,38%",21 apr 2031
RABOBK,Cooperatieve Rabobank UA,"0,0262%","711.087,71 €",700.000,"4,00%",10 gen 2030
IHGLN,IHG Finance LLC,"0,0262%","710.970,51 €",700.000,"4,38%",28 nov 2029
GBLBBB,Groupe Bruxelles Lambert NV,"0,0262%","710.245,05 €",700.000,"4,00%",15 mag 2033
WLK,Westlake Corp.,"0,0262%","710.189,36 €",800.000,"1,63%",17 lug 2029
,Oldenburgische Landesbank AG,"0,0262%","710.095,77 €",700.000,"5,63%",02 feb 2026
SECUSS,Securitas Treasury Ireland DAC,"0,0262%","710.016,27 €",700.000,"4,38%",06 mar 2029
REESM,Red Electrica Financiaciones SAU,"0,0262%","710.009,02 €",800.000,"0,38%",24 lug 2028
HOFP,Thales SA,"0,0262%","709.955,21 €",700.000,"4,13%",18 ott 2028
ASSABS,Assa Abloy AB,"0,0262%","709.923,92 €",700.000,"3,88%",13 set 2030
WSTP,Westpac Banking Corp.,"0,0262%","709.799,47 €",700.000,"3,80%",17 gen 2030
RDSALN,Shell International Finance BV,"0,0262%","709.740,28 €",793.000,"0,75%",15 ago 2028
SLB,Schlumberger Finance BV,"0,0262%","709.630,08 €",800.000,"2,00%",06 mag 2032
NWG,NatWest Markets plc,"0,0262%","709.088,47 €",725.000,"2,00%",27 ago 2025
,Iberdrola Finanzas SA,"0,0261%","708.954,00 €",700.000,"4,87%",16 apr 2073
SHBASS,Svenska Handelsbanken AB,"0,0261%","708.914,53 €",800.000,"0,01%",02 dic 2027
IFXGR,Infineon Technologies AG,"0,0261%","707.975,33 €",800.000,"2,00%",24 giu 2032
STERV,Stora Enso Oyj,"0,0261%","707.321,11 €",700.000,"4,25%",01 set 2029
FIREIT,2i Rete Gas SPA,"0,0261%","707.230,93 €",700.000,"4,38%",06 giu 2033
EOANGR,E.ON SE,"0,0261%","706.749,04 €",700.000,"3,75%",01 mar 2029
AKZANA,Akzo Nobel NV,"0,026%","705.937,83 €",700.000,"4,00%",24 mag 2033
AMPRIO,Amprion GmbH,"0,026%","705.902,37 €",700.000,"3,97%",22 set 2032
NOVOB,Novo Nordisk Finance Netherlands BV,"0,026%","705.448,74 €",800.000,"0,13%",04 giu 2028
SANTAN,Banco Santander SA,"0,026%","704.789,85 €",800.000,"0,63%",24 giu 2029
,Banco de Sabadell SA,"0,026%","704.532,53 €",700.000,"4,00%",15 gen 2030
MLFP,Cie Generale des Etablissements Michelin SCA,"0,026%","704.407,98 €",800.000,"2,50%",03 set 2038
MQGAU,Macquarie Group Ltd.,"0,026%","704.339,36 €",800.000,"0,94%",19 gen 2029
ABESM,Abertis Infraestructuras SA,"0,026%","704.283,41 €",700.000,"4,13%",07 ago 2029
,Banco de Sabadell SA,"0,026%","703.887,16 €",700.000,"4,25%",13 set 2030
ENELIM,Enel Finance International NV,"0,0259%","703.524,70 €",700.000,"3,88%",09 mar 2029
SOCGEN,Societe Generale SA,"0,0259%","703.106,34 €",800.000,"0,13%",18 feb 2028
,Iccrea Banca SPA,"0,0259%","701.215,39 €",700.000,"4,25%",05 feb 2030
ARVASL,Arval Service Lease SA/France,"0,0259%","701.095,05 €",700.000,"4,00%",22 set 2026
WKLNA,Wolters Kluwer NV,"0,0259%","701.050,60 €",825.000,"0,75%",03 lug 2030
ASSGEN,Assicurazioni Generali SPA,"0,0258%","700.161,97 €",700.000,"4,60%",30 nov 2049
,Svenska Handelsbanken AB,"0,0258%","700.094,40 €",700.000,"3,75%",15 feb 2034
SIKASW,Sika Capital BV,"0,0258%","699.835,97 €",700.000,"3,75%",03 nov 2026
SUFP,Schneider Electric SE,"0,0258%","699.592,48 €",700.000,"3,50%",12 giu 2033
MSFT,Microsoft Corp.,"0,0258%","699.304,40 €",700.000,"3,13%",06 dic 2028
ORFP,L'Oreal SA,"0,0258%","699.295,11 €",700.000,"3,38%",23 gen 2027
HON,Honeywell International Inc.,"0,0258%","698.868,22 €",700.000,"3,50%",17 mag 2027
KERFP,Kering SA,"0,0258%","698.852,01 €",700.000,"3,63%",05 set 2027
STLA,Stellantis NV,"0,0258%","698.784,02 €",800.000,"0,75%",18 gen 2029
VW,Volkswagen International Finance NV,"0,0258%","698.640,50 €",700.000,"4,13%",16 nov 2038
CBREGI,CBRE Global Investors Open-Ended Funds SCA SICAV-SIF-Pan European Core Fund,"0,0258%","698.456,03 €",828.000,"0,90%",12 ott 2029
,SpareBank 1 SR-Bank ASA,"0,0257%","697.925,83 €",700.000,"3,63%",12 mar 2029
TRNIM,Terna - Rete Elettrica Nazionale,"0,0257%","697.919,63 €",750.000,"1,38%",26 lug 2027
SIENFI,Siemens Energy Finance BV,"0,0257%","697.841,16 €",700.000,"4,00%",05 apr 2026
LONNVX,Lonza Finance International NV,"0,0257%","697.410,99 €",700.000,"3,88%",25 mag 2033
SOCGEN,Societe Generale SA,"0,0257%","697.351,46 €",800.000,"0,50%",12 giu 2029
PLD,Prologis Euro Finance LLC,"0,0257%","697.193,58 €",700.000,"3,88%",31 gen 2030
NYLIFE,New York Life Global Funding,"0,0257%","696.262,94 €",758.000,"0,25%",23 gen 2027
,HOCHTIEF AG,"0,0257%","696.106,43 €",700.000,"4,25%",31 mag 2030
,AP Moller - Maersk A/S,"0,0257%","695.971,28 €",700.000,"4,13%",05 mar 2036
SAPGR,SAP SE,"0,0257%","695.914,84 €",800.000,"0,38%",18 mag 2029
ISSDC,ISS Global A/S,"0,0257%","695.897,36 €",750.000,"1,50%",31 ago 2027
LIN,Linde plc,"0,0257%","695.881,97 €",700.000,"3,38%",12 giu 2029
ENGIFP,Engie SA,"0,0256%","695.419,49 €",700.000,"3,50%",27 set 2029
SRBANK,SpareBank 1 SR-Bank ASA,"0,0256%","695.386,70 €",750.000,"0,38%",15 lug 2027
CARUNA,Transmission Finance DAC,"0,0256%","695.245,98 €",800.000,"0,38%",18 giu 2028
,General Mills Inc.,"0,0256%","694.926,99 €",700.000,"3,65%",23 ott 2030
ACAFP,Credit Agricole SA,"0,0256%","694.589,71 €",700.000,"3,38%",28 lug 2027
AXACOR,Acef Holding SCA,"0,0256%","693.926,65 €",800.000,"0,75%",14 giu 2028
TTEFP,TotalEnergies Capital International SA,"0,0256%","693.388,84 €",700.000,"2,88%",19 nov 2025
MAN,ManpowerGroup Inc.,"0,0255%","692.710,71 €",700.000,"3,50%",30 giu 2027
PLD,Prologis Euro Finance LLC,"0,0255%","692.578,74 €",900.000,"0,50%",16 feb 2032
VOD,Vodafone International Financing DAC,"0,0255%","692.509,60 €",700.000,"3,75%",02 dic 2034
CB,Chubb INA Holdings LLC,"0,0255%","692.447,71 €",800.000,"2,50%",15 mar 2038
,Koninklijke Ahold Delhaize NV,"0,0255%","691.878,77 €",700.000,"3,88%",11 mar 2036
BFCM,Banque Federative du Credit Mutuel SA,"0,0255%","691.403,45 €",800.000,"0,25%",19 lug 2028
,Jefferies Financial Group Inc.,"0,0255%","690.833,68 €",700.000,"4,00%",16 apr 2029
LEGGR,LEG Immobilien SE,"0,0255%","690.785,52 €",900.000,"1,50%",17 gen 2034
DGFP,Vinci SA,"0,0254%","689.735,37 €",700.000,"3,38%",17 ott 2032
EDPPL,EDP - Energias de Portugal SA,"0,0254%","688.979,64 €",700.000,"2,88%",01 giu 2026
CMARK,Credit Mutuel Arkea SA,"0,0254%","688.549,63 €",700.000,"3,50%",09 feb 2029
EJRAIL,East Japan Railway Co.,"0,0254%","688.183,81 €",700.000,"3,25%",08 set 2030
MDT,Medtronic Global Holdings SCA,"0,0254%","687.805,35 €",1.100.000,"1,63%",15 ott 2050
VW,Volkswagen Leasing GmbH,"0,0253%","686.777,24 €",800.000,"0,50%",12 gen 2029
,Alimentation Couche-Tard Inc.,"0,0253%","686.682,58 €",700.000,"4,01%",12 feb 2036
,Severn Trent Utilities Finance plc,"0,0253%","685.269,31 €",700.000,"4,00%",05 mar 2034
,Duke Energy Corp.,"0,0253%","684.856,62 €",700.000,"3,75%",01 apr 2031
,Pernod Ricard SA,"0,0253%","684.668,66 €",700.000,"3,63%",07 mag 2034
TOYOTA,Toyota Motor Finance Netherlands BV,"0,0252%","683.675,25 €",700.000,"3,13%",11 lug 2029
ANNGR,Vonovia SE,"0,0252%","683.224,97 €",700.000,"1,80%",29 giu 2025
MDT,Medtronic Global Holdings SCA,"0,0252%","682.847,63 €",700.000,"3,00%",15 ott 2028
SOLBBB,Syensqo SA,"0,0252%","682.700,17 €",700.000,"2,75%",02 dic 2027
SLB,Schlumberger Finance BV,"0,0251%","681.055,11 €",850.000,"0,50%",15 ott 2031
,Coca-Cola HBC Finance BV,"0,0251%","680.929,96 €",800.000,"0,63%",21 nov 2029
IBESM,Iberdrola Finanzas SA,"0,0251%","680.494,67 €",700.000,"0,88%",16 giu 2025
ERICB,Telefonaktiebolaget LM Ericsson,"0,0251%","679.874,12 €",800.000,"1,00%",26 mag 2029
ISSDC,ISS Finance BV,"0,0251%","679.768,29 €",700.000,"1,25%",07 lug 2025
RWE,RWE AG,"0,0251%","679.755,05 €",700.000,"2,13%",24 mag 2026
BNP,BNP Paribas SA,"0,0251%","679.392,33 €",737.000,"1,50%",23 mag 2028
VW,Volkswagen International Finance NV,"0,0251%","679.391,92 €",1.000.000,"1,50%",21 gen 2041
BNP,BNP Paribas SA,"0,0251%","679.329,47 €",800.000,"1,63%",02 lug 2031
UBS,UBS Group AG,"0,0251%","679.255,92 €",900.000,"0,63%",24 feb 2033
BDX,Becton Dickinson Euro Finance Sarl,"0,025%","679.153,63 €",900.000,"1,21%",12 feb 2036
CMZB,Commerzbank AG,"0,025%","679.094,18 €",710.000,"1,00%",04 mar 2026
BACRED,Mediobanca Banca di Credito Finanziario SPA,"0,025%","679.061,69 €",750.000,"0,75%",02 nov 2028
GSK,GSK Capital BV,"0,025%","678.947,69 €",700.000,"3,13%",28 nov 2032
HSBC,HSBC Holdings plc,"0,025%","677.395,64 €",700.000,"3,13%",07 giu 2028
MRKGR,Merck Financial Services GmbH,"0,025%","677.003,15 €",700.000,"1,88%",15 giu 2026
EMR,Emerson Electric Co.,"0,025%","676.622,98 €",700.000,"1,25%",15 ott 2025
NIBCAP,NIBC Bank NV,"0,0249%","676.446,80 €",700.000,"0,88%",08 lug 2025
VZ,Verizon Communications Inc.,"0,0249%","676.410,64 €",900.000,"1,85%",18 mag 2040
MDT,Medtronic Global Holdings SCA,"0,0249%","676.356,56 €",700.000,"3,13%",15 ott 2031
ABESM,Abertis Infraestructuras SA,"0,0249%","676.133,59 €",700.000,"0,63%",15 lug 2025
,Inmobiliaria Colonial Socimi SA,"0,0249%","675.887,17 €",700.000,"2,00%",17 apr 2026
DGFP,Vinci SA,"0,0249%","675.724,35 €",700.000,"1,00%",26 set 2025
BNFP,Danone SA,"0,0249%","675.163,81 €",700.000,"3,07%",07 set 2032
ERSTBK,Erste Group Bank AG,"0,0249%","674.451,54 €",700.000,"1,00%",10 giu 2030
BPLN,BP Capital Markets BV,"0,0249%","674.121,72 €",1.000.000,"1,47%",21 set 2041
ASSABS,Assa Abloy AB,"0,0248%","673.431,80 €",650.000,"4,13%",13 set 2035
ICADFP,ICADE,"0,0248%","672.698,55 €",800.000,"1,00%",19 gen 2030
CTPNV,CTP NV,"0,0248%","672.569,67 €",700.000,"0,50%",21 giu 2025
CFRVX,Richemont International Holding SA,"0,0248%","672.412,86 €",800.000,"1,13%",26 mag 2032
,Banque Federative du Credit Mutuel SA,"0,0248%","671.990,66 €",700.000,"2,13%",12 set 2026
COVFP,Covivio SA/France,"0,0248%","671.903,34 €",700.000,"1,88%",20 mag 2026
ENXFP,Euronext NV,"0,0248%","671.853,72 €",720.000,"0,13%",17 mag 2026
ARION,Arion Banki HF,"0,0248%","671.804,24 €",700.000,"0,38%",14 lug 2025
ULFP,Unibail-Rodamco-Westfield SE,"0,0248%","671.701,80 €",700.000,"1,38%",09 mar 2026
IBESM,Iberdrola International BV,"0,0248%","671.476,60 €",700.000,"0,38%",15 set 2025
HELNSW,ELM BV for Helvetia Schweizerische Versicherungsgesellschaft AG,"0,0248%","671.408,25 €",700.000,"3,38%",29 set 2047
VESTNL,Vesteda Finance BV,"0,0248%","671.100,60 €",700.000,"2,00%",10 lug 2026
TOYOTA,Toyota Finance Australia Ltd.,"0,0247%","670.351,13 €",700.000,"2,28%",21 ott 2027
SGROLN,Segro Capital Sarl,"0,0247%","669.800,44 €",750.000,"1,88%",23 mar 2030
EOANGR,E.ON SE,"0,0247%","669.734,79 €",800.000,"0,35%",28 feb 2030
ANZNZ,ANZ New Zealand Int'l Ltd./London,"0,0247%","669.443,93 €",750.000,"0,20%",23 set 2027
BKNG,Booking Holdings Inc.,"0,0247%","669.381,99 €",700.000,"1,80%",03 mar 2027
RENAUL,RCI Banque SA,"0,0247%","668.867,81 €",700.000,"1,63%",26 mag 2026
ENELIM,Enel Finance International NV,"0,0247%","668.723,15 €",675.000,"4,50%",20 feb 2043
CABKSM,CaixaBank SA,"0,0246%","668.200,39 €",700.000,"1,13%",27 mar 2026
LIFP,Klepierre SA,"0,0246%","668.079,16 €",800.000,"1,63%",13 dic 2032
KERFP,Kering SA,"0,0246%","668.058,17 €",700.000,"1,25%",10 mag 2026
SRGIM,Snam SPA,"0,0246%","667.844,64 €",699.000,,15 ago 2025
LSELN,Lseg Netherlands BV,"0,0246%","667.794,28 €",650.000,"4,23%",29 set 2030
FIREIT,2i Rete Gas SPA,"0,0246%","667.507,82 €",700.000,"1,75%",28 ago 2026
MCD,McDonald's Corp.,"0,0246%","667.178,64 €",650.000,"4,25%",07 mar 2035
ABESM,Abertis Infraestructuras SA,"0,0246%","667.164,96 €",700.000,"2,38%",27 set 2027
SIEGR,Siemens Financieringsmaatschappij NV,"0,0246%","666.428,70 €",850.000,"1,75%",28 feb 2039
PHIANA,Koninklijke Philips NV,"0,0245%","664.335,22 €",700.000,"1,88%",05 mag 2027
ARVASL,Arval Service Lease SA/France,"0,0245%","664.045,00 €",700.000,,01 ott 2025
TVOYFH,Teollisuuden Voima Oyj,"0,0245%","663.920,71 €",700.000,"1,13%",09 mar 2026
TELEFO,Telefonica Emisiones SA,"0,0245%","663.392,26 €",700.000,"2,32%",17 ott 2028
VZ,Verizon Communications Inc.,"0,0245%","663.303,40 €",820.000,"0,88%",19 mar 2032
ENIIM,Eni SPA,"0,0245%","663.125,48 €",700.000,"1,50%",17 gen 2027
DE,John Deere Cash Management SARL,"0,0245%","662.909,75 €",700.000,"1,85%",02 apr 2028
LUMINO,Luminor Bank AS/Estonia,"0,0244%","662.649,37 €",700.000,"0,54%",23 set 2026
BRK,Berkshire Hathaway Inc.,"0,0244%","662.219,36 €",810.000,"1,63%",16 mar 2035
UNIMUS,Universal Music Group NV,"0,0244%","661.042,79 €",675.000,"3,00%",30 giu 2027
BERTEL,Bertelsmann SE & Co. KGaA,"0,0244%","660.804,69 €",700.000,"2,00%",01 apr 2028
DB,Deutsche Bank AG,"0,0244%","660.801,80 €",700.000,"1,63%",20 gen 2027
ABESM,Abertis Infraestructuras SA,"0,0244%","660.610,25 €",700.000,"3,00%",27 mar 2031
SIXLTD,SIX Finance Luxembourg SA,"0,0244%","660.289,00 €",700.000,,02 dic 2025
GS,Goldman Sachs Group Inc.,"0,0243%","660.075,73 €",700.000,"2,00%",22 mar 2028
,Banca Popolare di Sondrio SPA,"0,0243%","659.967,18 €",700.000,"1,25%",13 lug 2027
MCFP,LVMH Moet Hennessy Louis Vuitton SE,"0,0243%","659.676,03 €",800.000,"0,38%",11 feb 2031
SRGIM,Snam SPA,"0,0243%","658.766,25 €",764.000,"0,75%",20 giu 2029
LAMON,La Mondiale SAM,"0,0243%","658.594,52 €",700.000,"0,75%",20 apr 2026
NTGYSM,Naturgy Finance Iberia SA,"0,0243%","658.360,72 €",700.000,"1,38%",19 gen 2027
BSX,American Medical Systems Europe BV,"0,0243%","658.293,96 €",750.000,"1,63%",08 mar 2031
VOD,Vodafone Group plc,"0,0243%","658.239,51 €",700.000,"1,50%",24 lug 2027
,ISS Global A/S,"0,0243%","658.139,38 €",661.000,"3,88%",05 giu 2029
MMC,Marsh & McLennan Cos. Inc.,"0,0243%","657.876,98 €",716.000,"1,98%",21 mar 2030
CNHI,CNH Industrial Finance Europe SA,"0,0243%","657.847,14 €",695.000,"1,75%",25 mar 2027
ENELIM,Enel Finance International NV,"0,0243%","657.735,54 €",730.000,,17 giu 2027
MIZUHO,Mizuho Financial Group Inc.,"0,0242%","656.828,84 €",700.000,"0,18%",13 apr 2026
ATCOA,Atlas Copco AB,"0,0242%","656.575,57 €",700.000,"0,63%",30 ago 2026
SANSCF,Santander Consumer Finance SA,"0,0242%","656.575,21 €",700.000,,23 feb 2026
RKTLN,Reckitt Benckiser Treasury Services Nederland BV,"0,0242%","656.128,61 €",700.000,"0,38%",19 mag 2026
BBVASM,Banco Bilbao Vizcaya Argentaria SA,"0,0242%","656.048,15 €",700.000,"0,13%",24 mar 2027
SUFP,Schneider Electric SE,"0,0242%","655.955,75 €",700.000,"1,00%",09 apr 2027
CAFP,Carrefour SA,"0,0242%","655.881,68 €",700.000,"2,38%",30 ott 2029
PCIM,Pirelli & C SPA,"0,0242%","655.639,24 €",650.000,"4,25%",18 gen 2028
CMARK,Credit Mutuel Arkea SA,"0,0242%","655.250,83 €",700.000,"3,38%",11 mar 2031
CKHH,CK Hutchison Finance 16 Ltd.,"0,0242%","654.850,82 €",700.000,"2,00%",06 apr 2028
ASABRE,Asahi Group Holdings Ltd.,"0,0241%","654.722,92 €",750.000,"0,54%",23 ott 2028
ASRNED,ASR Nederland NV,"0,0241%","654.632,61 €",650.000,"5,13%",29 set 2045
CE,Celanese US Holdings LLC,"0,0241%","654.593,81 €",625.000,"5,34%",19 gen 2029
TOTAL,TotalEnergies Capital International SA,"0,0241%","654.413,77 €",700.000,"1,02%",04 mar 2027
AMCR,Amcor UK Finance plc,"0,0241%","654.092,31 €",710.000,"1,13%",23 giu 2027
ENGIFP,Engie SA,"0,0241%","653.354,10 €",700.000,"1,75%",27 mar 2028
SRGIM,Snam SPA,"0,0241%","653.176,32 €",700.000,"0,88%",25 ott 2026
VW,Volkswagen Leasing GmbH,"0,024%","651.732,04 €",700.000,"0,38%",20 lug 2026
MDT,Medtronic Global Holdings SCA,"0,024%","651.446,90 €",1.000.000,"1,75%",02 lug 2049
BPPEHX,Blackstone Property Partners Europe Holdings Sarl,"0,024%","651.261,70 €",750.000,"1,75%",12 mar 2029
NESVFH,Neste Oyj,"0,024%","651.085,38 €",650.000,"3,88%",16 mar 2029
IGIM,Italgas SPA,"0,024%","650.485,47 €",650.000,"4,13%",08 giu 2032
OMVAV,OMV AG,"0,024%","650.426,08 €",686.000,"2,00%",09 apr 2028
TTEFP,TotalEnergies SE,"0,024%","650.235,42 €",750.000,"2,00%",31 dic 2079
EZJLN,easyJet FinCo BV,"0,024%","650.084,24 €",700.000,"1,88%",03 mar 2028
TRNIM,Terna - Rete Elettrica Nazionale,"0,024%","650.073,50 €",650.000,"3,88%",24 lug 2033
NOVNVX,Novartis Finance SA,"0,0239%","649.111,52 €",800.000,"1,70%",14 ago 2038
ICADFP,ICADE,"0,0239%","648.238,60 €",700.000,"1,50%",13 set 2027
DPWGR,DHL Group,"0,0239%","647.757,00 €",700.000,"1,00%",13 dic 2027
SIEGR,Siemens Financieringsmaatschappij NV,"0,0239%","647.641,75 €",800.000,"0,50%",20 feb 2032
KO,Coca-Cola Co.,"0,0239%","647.552,19 €",975.000,"0,80%",15 mar 2040
IBESM,Iberdrola International BV,"0,0239%","647.419,79 €",700.000,"1,45%",31 dic 2079
UPMFH,UPM-Kymmene Oyj,"0,0239%","647.073,26 €",800.000,"0,50%",22 mar 2031
